!!!	:19
!!!!!R	:0
!...Times	:0
""In	:2
""This	:2
"'Moral	:2
"'Prince	:1
"'Zero	:1
"...	:3
"...an	:2
"...every	:0
"...it	:0
"20	:1
"28-day	:0
"43%	:2
"AIMA	:1
"AP	:2
"About	:2
"Above	:1
"Accept"	:2
"According	:2
"Activism	:1
"After	:2
"Agency's	:5
"Alistair	:7
"All	:2
"Altman	:2
"Always	:1
"America's	:1
"American	:2
"An	:5
"Analysis	:0
"Analysis:	:1
"Anatomy	:2
"Angel	:0
"Anywhere"	:0
"Apart	:1
"Art	:0
"As	:8
"Asia's	:1
"Ask	:1
"Assault	:2
"Assessing	:1
"Assets	:2
"At	:2
"Autonomous	:1
"Avoiding	:1
"BACTEST	:0
"BBC	:6
"BEPS	:0
"Bad	:2
"Ban	:1
"Bango	:2
"Bango’s	:0
"Bank	:22
"Banking	:0
"Banks	:2
"Banks'	:2
"Baron	:3
"Battle	:0
"Bear	:5
"Bed	:0
"Being	:0
"Bernanke	:1
"Bernanke's	:1
"Best	:0
"Better	:1
"Betting	:2
"Big	:2
"Bill	:0
"Billion	:1
"Blair:	:1
"Blendology	:1
"Bloomberg	:2
"Blowing	:1
"Bobby"	:1
"BofA	:2
"Bogus	:0
"Book	:2
"Books	:1
"Breaking	:0
"Brief	:1
"Bringing	:2
"Britain's	:1
"British	:4
"Broadly,	:2
"Brokers,	:2
"Brown	:1
"Buffett	:1
"Building	:2
"Bullies	:1
"Bureau	:2
"Burglary	:0
"Burnt	:0
"Business	:5
"But	:3
"Buzzword:	:3
"By	:0
"CARPE	:2
"CENSUS	:2
"CNBC	:1
"CNN	:8
"CRE-ative	:2
"CRS	:0
"CSI:	:2
"Cabinet's	:1
"California	:2
"Call	:1
"Cambridge	:0
"Can	:3
"Capitalist	:2
"Case	:2
"Chain	:0
"Chairman	:14
"Chameleon	:0
"Chancellor	:1
"Chapter	:4
"Charlie	:2
"Check	:0
"Cheque	:0
"China	:2
"Christmas	:0
"Cigarette	:0
"City	:1
"Cloud"	:1
"Coca-Cola"	:0
"Cold	:0
"Combatting	:1
"Commercial	:2
"Committee	:2
"Company	:1
"Congress	:4
"Consumer	:1
"Contact	:1
"Contra	:0
"Credit	:9
"Criticism	:2
"Cuomo:	:2
"DAF	:0
"Daily	:1
"Dalio	:1
"Darling	:3
"Darling's	:1
"Darling,	:1
"David	:1
"Daylight"	:0
"Debt	:2
"Decimation	:1
"Decline	:2
"Diary:	:1
"Did	:5
"Directive	:1
"Discs	:1
"Dissent	:5
"Documents	:1
"Dodd-Frank	:3
"Does	:4
"Dome	:1
"Don't	:1
"Double	:1
"Dow	:4
"Downward	:1
"Dr.	:1
"E-ASS	:0
"ECB	:1
"ECB:	:1
"EU	:3
"East	:1
"Egg	:2
"Eight	:2
"Elan	:0
"Election	:1
"Elliott	:3
"Email	:0
"Emerging	:1
"England's	:0
"English	:0
"Episode	:2
"Equity	:2
"European	:1
"Evaluating	:1
"Even	:0
"Eversheds	:1
"Every	:1
"Everybody	:2
"Excellence	:0
"Executive	:3
"Exiting	:1
"FBI	:8
"FCIR	:2
"FDIC	:2
"FDIC:	:2
"FRB:	:20
"FRBSF:	:1
"FT.com	:2
"FTSE	:1
"Facelift	:0
"Failed	:2
"Faith	:1
"Families	:1
"Family	:0
"Fannie	:5
"Far	:0
"Fatcat	:0
"Fed	:9
"Fed's	:1
"Federal	:8
"Fighting	:1
"Financial	:10
"Firms	:2
"Five	:2
"Focusrite	:0
"Food	:2
"For	:6
"Forbes	:3
"Foreign	:2
"Former	:3
"Forming	:1
"Fraud	:1
"Free	:2
"From	:4
"Fukuyama:	:2
"Funds	:1
"Fury	:1
"G-20	:2
"GREAT"	:0
"Genuine	:1
"Get	:2
"Giant	:2
"Give	:0
"Global	:0
"Gonna	:2
"Good	:1
"Gordon	:6
"Government	:6
"Great	:0
"Greece	:0
"Green	:0
"Guardian	:1
"H.	:2
"HFR	:1
"HOPE	:2
"Harriet	:1
"Harvard	:4
"Having	:5
"He	:1
"Hedge	:69
"Hedge-Fund	:1
"Hennessee:	:1
"Here	:1
"Hester:	:1
"Hey,	:0
"High	:2
"Highbridge	:1
"History".	:1
"Homeowners	:2
"Hope	:2
"House	:1
"Housing	:5
"How	:16
"Howard	:1
"However,	:3
"Huge	:2
"Hulbert,	:1
"I'm	:6
"I.R.S.	:1
"IMF	:5
"Ideas	:0
"If	:9
"Imagine	:0
"In	:22
"In"	:0
"Incentive	:1
"Increasing	:0
"Indian"	:0
"Industry	:2
"Inside	:1
"Insights"	:2
"Instead	:1
"Irish	:0
"Is	:7
"Isle	:0
"It	:19
"It"	:1
"It's	:1
"I’ve	:0
"Japan	:5
"Jenny	:0
"Join	:0
"Jones	:1
"Just	:0
"Karen	:2
"Key	:2
"Kinnock	:1
"Krugman	:2
"Labour	:7
"Lake	:1
"Legacy	:2
"Lehman	:2
"Lessons	:7
"Let's	:0
"Likes"	:0
"Listed	:1
"Locavores,	:1
"Loose	:1
"Lord	:19
"Lost	:1
"López	:1
"MBA	:5
"MJH	:0
"MPs	:1
"MPs'	:3
"Madoff	:1
"Mail	:1
"Make	:2
"Man	:1
"Managing	:1
"Mandelson	:41
"Mandelson"	:1
"Mandelson,	:1
"Many	:5
"Markets,"	:1
"Masters	:1
"McKillop:	:1
"Members	:2
"Men	:1
"Merrill,	:2
"Minorities	:2
"Mission".	:1
"Moody's	:1
"Mortgage	:2
"Most	:2
"My	:3
"Myners	:3
"NAV	:1
"NFL	:1
"NPR:	:2
"NYT	:2
"Natural	:0
"Naturally,	:0
"Negative	:2
"Net	:1
"Netanyahu	:0
"New	:5
"News	:1
"No	:42
"No,	:2
"Northern	:1
"Not	:0
"Note,	:2
"Obama	:2
"Official	:1
"Offshore	:1
"Often	:1
"Oh	:0
"On	:2
"Once	:0
"One	:1
"Op-Ed	:2
"Opaque	:1
"Opens	:0
"Opera	:0
"Operation	:2
"Optische	:0
"Our	:12
"Over	:1
"PAXT	:1
"PBS	:2
"Page	:3
"Pamplona	:1
"Passport	:1
"Paul	:7
"Paulson,	:1
"Pay	:3
"Payments	:0
"Pequot	:1
"Person	:1
"Peter	:23
"Pickled	:0
"Platform	:1
"Please	:0
"Ponzi	:1
"Predatory	:2
"Prepared	:5
"President	:5
"Press	:1
"Print	:1
"Private	:2
"Process	:0
"Profile:	:1
"Projects	:0
"Property	:0
"Protocol	:1
"Pub	:1
"Public	:1
"Publish	:0
"Publishers	:0
"Q&A:	:1
"QE	:7
"QE2"	:1
"QE2:	:1
"QE3	:3
"QE3",	:1
"REALTOR	:2
"Race	:1
"Real	:1
"Really	:0
"Realty	:2
"RealtyTrac	:2
"Rebate	:2
"Recently	:1
"Recipe	:5
"Reckless	:5
"Red"	:0
"Reform	:2
"Regulators	:1
"Regulatory	:0
"Relative	:1
"Remarks	:2
"Research	:0
"Responses	:2
"Retailers	:1
"Revolution	:1
"Ride	:2
"Right	:1
"Rising	:1
"Risk	:3
"Roubini	:2
"S&P	:2
"SAC	:1
"SEC	:16
"SEC:	:1
"Satellite	:1
"Scales	:1
"Scottish	:3
"Scrutiny	:3
"Secret	:4
"Secretary	:1
"Securities	:1
"Send	:1
"Seven	:0
"Shades	:0
"Sheltering	:2
"Shine	:2
"Simon	:1
"Since	:2
"SmartWater	:1
"So	:2
"So,	:1
"Solicitors	:1
"Some	:3
"Someone	:0
"Sources	:2
"Sport	:1
"Staycation	:1
"Steve	:1
"Stigliz	:2
"Stimulus	:2
"Stop	:0
"Storm	:1
"Study	:2
"Subprime	:8
"Summary	:2
"Sunday	:1
"Supporting	:0
"Surveys	:1
"Systemic	:1
"Thanks	:0
"That	:3
"The	:257
"Theft	:0
"There	:12
"There's	:3
"These	:0
"They	:5
"Third	:0
"This	:9
"Three	:2
"Timeline:	:2
"To	:2
"Today	:2
"Today,	:1
"Too	:2
"Top	:1
"Tories	:3
"Towards	:1
"Tram	:1
"Treasury	:2
"Troubled	:2
"Twisted	:1
"Two	:0
"U.K.	:1
"U.S.	:4
"UK.	:1
"US	:1
"Uncle	:2
"Under	:1
"Unite	:1
"University	:1
"Unlike	:2
"Unusual"	:0
"Up	:0
"Update	:1
"Updated	:1
"Upon	:0
"Vacancy	:2
"Value	:0
"Vanguard"	:0
"Varieties	:1
"Veteran	:1
"Visual".	:0
"Volcker	:1
"WSJ	:5
"Waiting	:2
"Wall	:7
"Wallets	:0
"Wanted"	:0
"Warning	:2
"We	:39
"We're	:9
"We've	:2
"Weakened	:1
"We’ll	:0
"What	:21
"When	:4
"While	:5
"Whilst	:0
"Why	:3
"Will	:1
"With	:7
"Women	:0
"Yes,	:3
"York	:1
"You	:3
"You're	:1
"Zakaria:	:5
"[Darling]	:1
"[The	:2
"[There	:1
"[f]rom	:2
"abc15.com	:1
"accused	:1
"across	:4
"aha!"	:0
"allow	:2
"already	:0
"amicably"	:0
"an	:0
"and	:1
"anonymous"	:0
"arguable	:2
"arguably	:6
"at	:7
"baby	:0
"backfill	:1
"baptism	:1
"because	:2
"beginning	:4
"between	:5
"big	:4
"biggest	:0
"bills	:0
"bubble"	:1
"buckets"	:2
"buyers"	:2
"by	:1
"cannot	:1
"careful	:0
"cash"	:5
"cash/cost	:0
"chaotic"	:1
"check	:0
"cheques	:0
"cigarette	:0
"classic"	:2
"claw-back"	:2
"cleanup"	:2
"cliff	:0
"close	:0
"clusters"	:0
"cogent,	:1
"coin	:0
"combined	:2
"come	:0
"comments"	:0
"contagious	:2
"contained"	:2
"core	:2
"corrupt	:0
"could	:0
"credit	:11
"daycation"	:1
"de-gaying"	:1
"deals"	:1
"dedicated	:1
"deep	:1
"derived	:1
"does	:1
"drifting"	:1
"dross	:2
"drowning	:0
"duty	:1
"eCharts".	:2
"easy	:1
"elevator	:0
"empty"	:0
"enable	:1
"entities":	:2
"epidemic"	:2
"essential	:2
"every	:3
"excessive"	:0
"extremely	:1
"failures"	:2
"financial	:2
"flawed	:2
"flight	:11
"flipped"	:2
"flood"	:2
"for	:1
"found	:1
"founder	:1
"frail".	:0
"free	:1
"from	:2
"from:atos	:0
"game"	:0
"gifting"	:0
"given	:1
"go	:0
"good	:0
"greedy	:1
"handsome	:2
"hard"	:1
"have	:1
"he	:1
"hedge	:3
"hedge",	:1
"hedged	:1
"hedged",	:1
"hedging"	:1
"herd"	:1
"hey	:0
"high	:1
"holiday"	:1
"holistay"	:1
"house	:2
"huge	:0
"hurdle",	:1
"im	:0
"imprudent"	:1
"in	:5
"increase	:2
"increased	:0
"inner	:1
"insecure"	:1
"instant	:1
"into	:0
"invisible"	:2
"is	:2
"kept	:2
"key	:2
"key"	:2
"large	:5
"leave	:2
"legacy"	:5
"less	:2
"let’s	:3
"likely	:2
"little	:2
"look	:0
"looking	:1
"loose	:1
"loss	:1
"made	:2
"malign	:2
"manipulate	:1
"mark	:1
"massive"	:2
"merits"	:0
"mezzanine"	:2
"monetizing	:1
"money	:1
"more	:1
"my	:1
"naked	:2
"naked"	:2
"national	:0
"nervous	:1
"new	:2
"newly	:0
"next	:0
"no	:9
"no"	:1
"nom	:1
"not	:0
"nudge"	:2
"odd"	:0
"on	:0
"one	:2
"only	:1
"opened	:0
"option	:5
"or	:1
"our"	:0
"out	:0
"overall	:2
"ownership"	:0
"papered	:2
"parallel"	:2
"passport"	:1
"pastoral	:1
"paying	:0
"payment	:2
"people	:1
"perfect	:2
"plenty	:0
"prime"	:2
"printing	:1
"private	:2
"provided	:2
"publishers	:0
"ratings	:2
"re-earn	:1
"reckless",	:0
"redefine"	:0
"relatively	:0
"repo"	:2
"rescued";	:2
"residence	:0
"rewards	:0
"risk	:1
"risk-based	:1
"run"	:6
"running"	:2
"saving	:5
"scrapper."	:0
"sector	:1
"seized	:2
"short	:5
"shotgun	:2
"should	:0
"showroom	:0
"silent	:5
"silent"	:2
"slicing"	:2
"small	:1
"smartest"	:2
"soft"	:1
"spaghetti	:0
"spin	:1
"stated	:2
"statement"	:2
"stay"	:1
"staycation	:1
"straight"	:1
"structured	:2
"subprime	:2
"subprime"	:5
"sunlight	:0
"super	:0
"systematic	:3
"tag	:0
"take	:1
"tapering"	:1
"teaser"	:5
"technical	:2
"the	:30
"there	:2
"thinking	:0
"this	:4
"time	:1
"to	:7
"too	:2
"tough	:0
"toxic"	:5
"trading	:1
"tranches",	:2
"trapped"	:0
"triple	:2
"triple-A"	:2
"triple-A".	:2
"troika"	:2
"unfair"	:0
"unlocked"	:0
"untenable"	:1
"vacation")	:1
"very	:1
"very,	:1
"water"	:2
"we	:1
"weak	:2
"webmaster"	:2
"welcome	:0
"what	:0
"when	:2
"which	:0
"who	:2
"whole	:1
"willful	:2
"willy	:1
"with	:0
"without	:1
"would	:1
"year	:1
"…Prism	:0
"…it	:1
#1,	:1
#1-11	:0
#1-3	:2
#1-5	:0
#106Find	:0
#1105	:2
#12-01	:1
#123	:1
#1425	:0
#1725	:0
#1 27	:1
#326	:2
#329	:3
#332	:3
#335	:0
#336	:3
#337	:3
#338	:2
#345	:4
#346	:4
#4032Find	:0
#4034Find	:0
#413Find	:0
#415	:0
#418Find	:0
#420	:0
#430	:0
#439	:0
#44-02/03	:0
#441	:0
#450	:0
#4944	:0
#54	:0
#541	:2
#5G	:0
#72	:1
#ARBatWork	:0
#Accessible	:0
#AngloSaxon	:0
#Aveillant	:0
#Aviva”	:2
#BIM:	:3
#Berlin	:1
#Birmingham	:3
#Brazil	:1
#Brazil.	:1
#Brazilians	:1
#Brexit	:1
#Burwell	:0
#COP21	:0
#Cadvent	:1
#Canada	:1
#Cardigan	:0
#Castle	:0
#China	:3
